
Label=dB(v(Vout)) vs F
LabelX=F
LabelY=dB(v(Vout))
Data Point Count=1001
F,F,F,dB(v(Vout)),dB(v(Vout))
 5.5462571295791645E+002, 5.5462571295791645E+002, 0.0000000000000000E+000, 6.0301118018692314E+001, 0.0000000000000000E+000
 5.6234132519035495E+002, 5.6234132519035495E+002, 0.0000000000000000E+000, 6.0301085358337858E+001, 0.0000000000000000E+000
 5.7016427228075349E+002, 5.7016427228075349E+002, 0.0000000000000000E+000, 6.0301051783217197E+001, 0.0000000000000000E+000
 5.7809604740572422E+002, 5.7809604740572422E+002, 0.0000000000000000E+000, 6.0301017267716297E+001, 0.0000000000000000E+000
 5.8613816451403500E+002, 5.8613816451403500E+002, 0.0000000000000000E+000, 6.0300981785504497E+001, 0.0000000000000000E+000
 5.9429215861557907E+002, 5.9429215861557907E+002, 0.0000000000000000E+000, 6.0300945309514653E+001, 0.0000000000000000E+000
 6.0255958607436435E+002, 6.0255958607436435E+002, 0.0000000000000000E+000, 6.0300907811921931E+001, 0.0000000000000000E+000
 6.1094202490557871E+002, 6.1094202490557871E+002, 0.0000000000000000E+000, 6.0300869264122539E+001, 0.0000000000000000E+000
 6.1944107507678825E+002, 6.1944107507678825E+002, 0.0000000000000000E+000, 6.0300829636713004E+001, 0.0000000000000000E+000
 6.2805835881332484E+002, 6.2805835881332484E+002, 0.0000000000000000E+000, 6.0300788899466752E+001, 0.0000000000000000E+000
 6.3679552090792288E+002, 6.3679552090792288E+002, 0.0000000000000000E+000, 6.0300747021311800E+001, 0.0000000000000000E+000
 6.4565422903466276E+002, 6.4565422903466276E+002, 0.0000000000000000E+000, 6.0300703970306557E+001, 0.0000000000000000E+000
 6.5463617406728235E+002, 6.5463617406728235E+002, 0.0000000000000000E+000, 6.0300659713616469E+001, 0.0000000000000000E+000
 6.6374307040191638E+002, 6.6374307040191638E+002, 0.0000000000000000E+000, 6.0300614217487364E+001, 0.0000000000000000E+000
 6.7297665628432549E+002, 6.7297665628432549E+002, 0.0000000000000000E+000, 6.0300567447221702E+001, 0.0000000000000000E+000
 6.8233869414167748E+002, 6.8233869414167748E+002, 0.0000000000000000E+000, 6.0300519367151125E+001, 0.0000000000000000E+000
 6.9183097091894456E+002, 6.9183097091894456E+002, 0.0000000000000000E+000, 6.0300469940609673E+001, 0.0000000000000000E+000
 7.0145529841997950E+002, 7.0145529841997950E+002, 0.0000000000000000E+000, 6.0300419129905180E+001, 0.0000000000000000E+000
 7.1121351365333749E+002, 7.1121351365333749E+002, 0.0000000000000000E+000, 6.0300366896292211E+001, 0.0000000000000000E+000
 7.2110747918290826E+002, 7.2110747918290826E+002, 0.0000000000000000E+000, 6.0300313199941584E+001, 0.0000000000000000E+000
 7.3113908348342625E+002, 7.3113908348342625E+002, 0.0000000000000000E+000, 6.0300257999909391E+001, 0.0000000000000000E+000
 7.4131024130092646E+002, 7.4131024130092646E+002, 0.0000000000000000E+000, 6.0300201254107648E+001, 0.0000000000000000E+000
 7.5162289401821465E+002, 7.5162289401821465E+002, 0.0000000000000000E+000, 6.0300142919270847E+001, 0.0000000000000000E+000
 7.6207901002542144E+002, 7.6207901002542144E+002, 0.0000000000000000E+000, 6.0300082950924505E+001, 0.0000000000000000E+000
 7.7268058509571188E+002, 7.7268058509571188E+002, 0.0000000000000000E+000, 6.0300021303349418E+001, 0.0000000000000000E+000
 7.8342964276622149E+002, 7.8342964276622149E+002, 0.0000000000000000E+000, 6.0299957929549457E+001, 0.0000000000000000E+000
 7.9432823472429141E+002, 7.9432823472429141E+002, 0.0000000000000000E+000, 6.0299892781213472E+001, 0.0000000000000000E+000
 8.0537844119907675E+002, 8.0537844119907675E+002, 0.0000000000000000E+000, 6.0299825808680573E+001, 0.0000000000000000E+000
 8.1658237135860270E+002, 8.1658237135860270E+002, 0.0000000000000000E+000, 6.0299756960900993E+001, 0.0000000000000000E+000
 8.2794216371234472E+002, 8.2794216371234472E+002, 0.0000000000000000E+000, 6.0299686185398620E+001, 0.0000000000000000E+000
 8.3945998651940818E+002, 8.3945998651940818E+002, 0.0000000000000000E+000, 6.0299613428230344E+001, 0.0000000000000000E+000
 8.5113803820238741E+002, 8.5113803820238741E+002, 0.0000000000000000E+000, 6.0299538633945218E+001, 0.0000000000000000E+000
 8.6297854776698148E+002, 8.6297854776698148E+002, 0.0000000000000000E+000, 6.0299461745543105E+001, 0.0000000000000000E+000
 8.7498377522744750E+002, 8.7498377522744750E+002, 0.0000000000000000E+000, 6.0299382704431068E+001, 0.0000000000000000E+000
 8.8715601203797257E+002, 8.8715601203797257E+002, 0.0000000000000000E+000, 6.0299301450378017E+001, 0.0000000000000000E+000
 8.9949758153004711E+002, 8.9949758153004711E+002, 0.0000000000000000E+000, 6.0299217921470891E+001, 0.0000000000000000E+000
 9.1201083935592192E+002, 9.1201083935592192E+002, 0.0000000000000000E+000, 6.0299132054066895E+001, 0.0000000000000000E+000
 9.2469817393823496E+002, 9.2469817393823496E+002, 0.0000000000000000E+000, 6.0299043782744739E+001, 0.0000000000000000E+000
 9.3756200692589289E+002, 9.3756200692589289E+002, 0.0000000000000000E+000, 6.0298953040255739E+001, 0.0000000000000000E+000
 9.5060479365629431E+002, 9.5060479365629431E+002, 0.0000000000000000E+000, 6.0298859757473807E+001, 0.0000000000000000E+000
 9.6382902362398363E+002, 9.6382902362398363E+002, 0.0000000000000000E+000, 6.0298763863340731E+001, 0.0000000000000000E+000
 9.7723722095582400E+002, 9.7723722095582400E+002, 0.0000000000000000E+000, 6.0298665284814852E+001, 0.0000000000000000E+000
 9.9083194489278117E+002, 9.9083194489278117E+002, 0.0000000000000000E+000, 6.0298563946815065E+001, 0.0000000000000000E+000
 1.0046157902784090E+003, 1.0046157902784090E+003, 0.0000000000000000E+000, 6.0298459772162765E+001, 0.0000000000000000E+000
 1.0185913880541310E+003, 1.0185913880541310E+003, 0.0000000000000000E+000, 6.0298352681525756E+001, 0.0000000000000000E+000
 1.0327614057614119E+003, 1.0327614057614119E+003, 0.0000000000000000E+000, 6.0298242593356548E+001, 0.0000000000000000E+000
 1.0471285480509143E+003, 1.0471285480509143E+003, 0.0000000000000000E+000, 6.0298129423831540E+001, 0.0000000000000000E+000
 1.0616955571987398E+003, 1.0616955571987398E+003, 0.0000000000000000E+000, 6.0298013086787734E+001, 0.0000000000000000E+000
 1.0764652136298503E+003, 1.0764652136298503E+003, 0.0000000000000000E+000, 6.0297893493657078E+001, 0.0000000000000000E+000
 1.0914403364487723E+003, 1.0914403364487723E+003, 0.0000000000000000E+000, 6.0297770553400731E+001, 0.0000000000000000E+000
 1.1066237839776825E+003, 1.1066237839776825E+003, 0.0000000000000000E+000, 6.0297644172438865E+001, 0.0000000000000000E+000
 1.1220184543019800E+003, 1.1220184543019800E+003, 0.0000000000000000E+000, 6.0297514254581927E+001, 0.0000000000000000E+000
 1.1376272858234477E+003, 1.1376272858234477E+003, 0.0000000000000000E+000, 6.0297380700956289E+001, 0.0000000000000000E+000
 1.1534532578211094E+003, 1.1534532578211094E+003, 0.0000000000000000E+000, 6.0297243409931191E+001, 0.0000000000000000E+000
 1.1694993910198884E+003, 1.1694993910198884E+003, 0.0000000000000000E+000, 6.0297102277041112E+001, 0.0000000000000000E+000
 1.1857687481671778E+003, 1.1857687481671778E+003, 0.0000000000000000E+000, 6.0296957194908060E+001, 0.0000000000000000E+000
 1.2022644346174311E+003, 1.2022644346174311E+003, 0.0000000000000000E+000, 6.0296808053159495E+001, 0.0000000000000000E+000
 1.2189895989248851E+003, 1.2189895989248851E+003, 0.0000000000000000E+000, 6.0296654738347456E+001, 0.0000000000000000E+000
 1.2359474334445295E+003, 1.2359474334445295E+003, 0.0000000000000000E+000, 6.0296497133859845E+001, 0.0000000000000000E+000
 1.2531411749414353E+003, 1.2531411749414353E+003, 0.0000000000000000E+000, 6.0296335119836712E+001, 0.0000000000000000E+000
 1.2705741052085614E+003, 1.2705741052085614E+003, 0.0000000000000000E+000, 6.0296168573076855E+001, 0.0000000000000000E+000
 1.2882495516931540E+003, 1.2882495516931540E+003, 0.0000000000000000E+000, 6.0295997366946608E+001, 0.0000000000000000E+000
 1.3061708881318618E+003, 1.3061708881318618E+003, 0.0000000000000000E+000, 6.0295821371285726E+001, 0.0000000000000000E+000
 1.3243415351946853E+003, 1.3243415351946853E+003, 0.0000000000000000E+000, 6.0295640452308149E+001, 0.0000000000000000E+000
 1.3427649611378849E+003, 1.3427649611378849E+003, 0.0000000000000000E+000, 6.0295454472502151E+001, 0.0000000000000000E+000
 1.3614446824659715E+003, 1.3614446824659715E+003, 0.0000000000000000E+000, 6.0295263290527089E+001, 0.0000000000000000E+000
 1.3803842646029068E+003, 1.3803842646029068E+003, 0.0000000000000000E+000, 6.0295066761108600E+001, 0.0000000000000000E+000
 1.3995873225726405E+003, 1.3995873225726405E+003, 0.0000000000000000E+000, 6.0294864734928254E+001, 0.0000000000000000E+000
 1.4190575216891150E+003, 1.4190575216891150E+003, 0.0000000000000000E+000, 6.0294657058512577E+001, 0.0000000000000000E+000
 1.4387985782558687E+003, 1.4387985782558687E+003, 0.0000000000000000E+000, 6.0294443574118390E+001, 0.0000000000000000E+000
 1.4588142602753721E+003, 1.4588142602753721E+003, 0.0000000000000000E+000, 6.0294224119613880E+001, 0.0000000000000000E+000
 1.4791083881682316E+003, 1.4791083881682316E+003, 0.0000000000000000E+000, 6.0293998528359289E+001, 0.0000000000000000E+000
 1.4996848355023981E+003, 1.4996848355023981E+003, 0.0000000000000000E+000, 6.0293766629080061E+001, 0.0000000000000000E+000
 1.5205475297325206E+003, 1.5205475297325206E+003, 0.0000000000000000E+000, 6.0293528245741584E+001, 0.0000000000000000E+000
 1.5417004529495848E+003, 1.5417004529495848E+003, 0.0000000000000000E+000, 6.0293283197415434E+001, 0.0000000000000000E+000
 1.5631476426409799E+003, 1.5631476426409799E+003, 0.0000000000000000E+000, 6.0293031298146218E+001, 0.0000000000000000E+000
 1.5848931924611397E+003, 1.5848931924611397E+003, 0.0000000000000000E+000, 6.0292772356812876E+001, 0.0000000000000000E+000
 1.6069412530129041E+003, 1.6069412530129041E+003, 0.0000000000000000E+000, 6.0292506176985370E+001, 0.0000000000000000E+000
 1.6292960326397497E+003, 1.6292960326397497E+003, 0.0000000000000000E+000, 6.0292232556779908E+001, 0.0000000000000000E+000
 1.6519617982290429E+003, 1.6519617982290429E+003, 0.0000000000000000E+000, 6.0291951288707715E+001, 0.0000000000000000E+000
 1.6749428760264657E+003, 1.6749428760264657E+003, 0.0000000000000000E+000, 6.0291662159521962E+001, 0.0000000000000000E+000
 1.6982436524617731E+003, 1.6982436524617731E+003, 0.0000000000000000E+000, 6.0291364950058977E+001, 0.0000000000000000E+000
 1.7218685749860363E+003, 1.7218685749860363E+003, 0.0000000000000000E+000, 6.0291059435075766E+001, 0.0000000000000000E+000
 1.7458221529205337E+003, 1.7458221529205337E+003, 0.0000000000000000E+000, 6.0290745383082587E+001, 0.0000000000000000E+000
 1.7701089583174514E+003, 1.7701089583174514E+003, 0.0000000000000000E+000, 6.0290422556173233E+001, 0.0000000000000000E+000
 1.7947336268325573E+003, 1.7947336268325573E+003, 0.0000000000000000E+000, 6.0290090709847561E+001, 0.0000000000000000E+000
 1.8197008586100148E+003, 1.8197008586100148E+003, 0.0000000000000000E+000, 6.0289749592830631E+001, 0.0000000000000000E+000
