
Label=ph(v(Vout)) vs F
LabelX=F
LabelY=ph(v(Vout))
Data Point Count=1001
F,F,F,ph(v(Vout)),ph(v(Vout))
 4.4463126746911274E+002, 4.4463126746911274E+002, 0.0000000000000000E+000, 1.7923439394223428E+002, 0.0000000000000000E+000
 4.5081670454146428E+002, 4.5081670454146428E+002, 0.0000000000000000E+000, 1.7922374453004008E+002, 0.0000000000000000E+000
 4.5708818961487924E+002, 4.5708818961487924E+002, 0.0000000000000000E+000, 1.7921294702176544E+002, 0.0000000000000000E+000
 4.6344691973629233E+002, 4.6344691973629233E+002, 0.0000000000000000E+000, 1.7920199935938874E+002, 0.0000000000000000E+000
 4.6989410860521986E+002, 4.6989410860521986E+002, 0.0000000000000000E+000, 1.7919089945635127E+002, 0.0000000000000000E+000
 4.7643098680542022E+002, 4.7643098680542022E+002, 0.0000000000000000E+000, 1.7917964519716460E+002, 0.0000000000000000E+000
 4.8305880203977728E+002, 4.8305880203977728E+002, 0.0000000000000000E+000, 1.7916823443701190E+002, 0.0000000000000000E+000
 4.8977881936845091E+002, 4.8977881936845091E+002, 0.0000000000000000E+000, 1.7915666500134441E+002, 0.0000000000000000E+000
 4.9659232145034088E+002, 4.9659232145034088E+002, 0.0000000000000000E+000, 1.7914493468547212E+002, 0.0000000000000000E+000
 5.0350060878790970E+002, 5.0350060878790970E+002, 0.0000000000000000E+000, 1.7913304125414930E+002, 0.0000000000000000E+000
 5.1050499997541129E+002, 5.1050499997541129E+002, 0.0000000000000000E+000, 1.7912098244115410E+002, 0.0000000000000000E+000
 5.1760683195057277E+002, 5.1760683195057277E+002, 0.0000000000000000E+000, 1.7910875594886275E+002, 0.0000000000000000E+000
 5.2480746024977782E+002, 5.2480746024977782E+002, 0.0000000000000000E+000, 1.7909635944781797E+002, 0.0000000000000000E+000
 5.3210825926679956E+002, 5.3210825926679956E+002, 0.0000000000000000E+000, 1.7908379057629159E+002, 0.0000000000000000E+000
 5.3951062251513304E+002, 5.3951062251513304E+002, 0.0000000000000000E+000, 1.7907104693984138E+002, 0.0000000000000000E+000
 5.4701596289397719E+002, 5.4701596289397719E+002, 0.0000000000000000E+000, 1.7905812611086176E+002, 0.0000000000000000E+000
 5.5462571295791645E+002, 5.5462571295791645E+002, 0.0000000000000000E+000, 1.7904502562812883E+002, 0.0000000000000000E+000
 5.6234132519035495E+002, 5.6234132519035495E+002, 0.0000000000000000E+000, 1.7903174299633909E+002, 0.0000000000000000E+000
 5.7016427228075349E+002, 5.7016427228075349E+002, 0.0000000000000000E+000, 1.7901827568564204E+002, 0.0000000000000000E+000
 5.7809604740572422E+002, 5.7809604740572422E+002, 0.0000000000000000E+000, 1.7900462113116669E+002, 0.0000000000000000E+000
 5.8613816451403500E+002, 5.8613816451403500E+002, 0.0000000000000000E+000, 1.7899077673254158E+002, 0.0000000000000000E+000
 5.9429215861557907E+002, 5.9429215861557907E+002, 0.0000000000000000E+000, 1.7897673985340873E+002, 0.0000000000000000E+000
 6.0255958607436435E+002, 6.0255958607436435E+002, 0.0000000000000000E+000, 1.7896250782093080E+002, 0.0000000000000000E+000
 6.1094202490557871E+002, 6.1094202490557871E+002, 0.0000000000000000E+000, 1.7894807792529195E+002, 0.0000000000000000E+000
 6.1944107507678825E+002, 6.1944107507678825E+002, 0.0000000000000000E+000, 1.7893344741919216E+002, 0.0000000000000000E+000
 6.2805835881332484E+002, 6.2805835881332484E+002, 0.0000000000000000E+000, 1.7891861351733465E+002, 0.0000000000000000E+000
 6.3679552090792288E+002, 6.3679552090792288E+002, 0.0000000000000000E+000, 1.7890357339590665E+002, 0.0000000000000000E+000
 6.4565422903466276E+002, 6.4565422903466276E+002, 0.0000000000000000E+000, 1.7888832419205349E+002, 0.0000000000000000E+000
 6.5463617406728235E+002, 6.5463617406728235E+002, 0.0000000000000000E+000, 1.7887286300334566E+002, 0.0000000000000000E+000
 6.6374307040191638E+002, 6.6374307040191638E+002, 0.0000000000000000E+000, 1.7885718688723875E+002, 0.0000000000000000E+000
 6.7297665628432549E+002, 6.7297665628432549E+002, 0.0000000000000000E+000, 1.7884129286052669E+002, 0.0000000000000000E+000
 6.8233869414167748E+002, 6.8233869414167748E+002, 0.0000000000000000E+000, 1.7882517789878733E+002, 0.0000000000000000E+000
 6.9183097091894456E+002, 6.9183097091894456E+002, 0.0000000000000000E+000, 1.7880883893582143E+002, 0.0000000000000000E+000
 7.0145529841997950E+002, 7.0145529841997950E+002, 0.0000000000000000E+000, 1.7879227286308381E+002, 0.0000000000000000E+000
 7.1121351365333749E+002, 7.1121351365333749E+002, 0.0000000000000000E+000, 1.7877547652910732E+002, 0.0000000000000000E+000
 7.2110747918290826E+002, 7.2110747918290826E+002, 0.0000000000000000E+000, 1.7875844673891939E+002, 0.0000000000000000E+000
 7.3113908348342625E+002, 7.3113908348342625E+002, 0.0000000000000000E+000, 1.7874118025345115E+002, 0.0000000000000000E+000
 7.4131024130092646E+002, 7.4131024130092646E+002, 0.0000000000000000E+000, 1.7872367378893844E+002, 0.0000000000000000E+000
 7.5162289401821465E+002, 7.5162289401821465E+002, 0.0000000000000000E+000, 1.7870592401631581E+002, 0.0000000000000000E+000
 7.6207901002542144E+002, 7.6207901002542144E+002, 0.0000000000000000E+000, 1.7868792756060205E+002, 0.0000000000000000E+000
 7.7268058509571188E+002, 7.7268058509571188E+002, 0.0000000000000000E+000, 1.7866968100027853E+002, 0.0000000000000000E+000
 7.8342964276622149E+002, 7.8342964276622149E+002, 0.0000000000000000E+000, 1.7865118086665888E+002, 0.0000000000000000E+000
 7.9432823472429141E+002, 7.9432823472429141E+002, 0.0000000000000000E+000, 1.7863242364325131E+002, 0.0000000000000000E+000
 8.0537844119907675E+002, 8.0537844119907675E+002, 0.0000000000000000E+000, 1.7861340576511236E+002, 0.0000000000000000E+000
 8.1658237135860270E+002, 8.1658237135860270E+002, 0.0000000000000000E+000, 1.7859412361819261E+002, 0.0000000000000000E+000
 8.2794216371234472E+002, 8.2794216371234472E+002, 0.0000000000000000E+000, 1.7857457353867420E+002, 0.0000000000000000E+000
 8.3945998651940818E+002, 8.3945998651940818E+002, 0.0000000000000000E+000, 1.7855475181229986E+002, 0.0000000000000000E+000
 8.5113803820238741E+002, 8.5113803820238741E+002, 0.0000000000000000E+000, 1.7853465467369372E+002, 0.0000000000000000E+000
 8.6297854776698148E+002, 8.6297854776698148E+002, 0.0000000000000000E+000, 1.7851427830567326E+002, 0.0000000000000000E+000
 8.7498377522744750E+002, 8.7498377522744750E+002, 0.0000000000000000E+000, 1.7849361883855306E+002, 0.0000000000000000E+000
 8.8715601203797257E+002, 8.8715601203797257E+002, 0.0000000000000000E+000, 1.7847267234943970E+002, 0.0000000000000000E+000
 8.9949758153004711E+002, 8.9949758153004711E+002, 0.0000000000000000E+000, 1.7845143486151784E+002, 0.0000000000000000E+000
 9.1201083935592192E+002, 9.1201083935592192E+002, 0.0000000000000000E+000, 1.7842990234332754E+002, 0.0000000000000000E+000
 9.2469817393823496E+002, 9.2469817393823496E+002, 0.0000000000000000E+000, 1.7840807070803294E+002, 0.0000000000000000E+000
 9.3756200692589289E+002, 9.3756200692589289E+002, 0.0000000000000000E+000, 1.7838593581268154E+002, 0.0000000000000000E+000
 9.5060479365629431E+002, 9.5060479365629431E+002, 0.0000000000000000E+000, 1.7836349345745458E+002, 0.0000000000000000E+000
 9.6382902362398363E+002, 9.6382902362398363E+002, 0.0000000000000000E+000, 1.7834073938490869E+002, 0.0000000000000000E+000
 9.7723722095582400E+002, 9.7723722095582400E+002, 0.0000000000000000E+000, 1.7831766927920762E+002, 0.0000000000000000E+000
 9.9083194489278117E+002, 9.9083194489278117E+002, 0.0000000000000000E+000, 1.7829427876534541E+002, 0.0000000000000000E+000
 1.0046157902784090E+003, 1.0046157902784090E+003, 0.0000000000000000E+000, 1.7827056340835989E+002, 0.0000000000000000E+000
 1.0185913880541310E+003, 1.0185913880541310E+003, 0.0000000000000000E+000, 1.7824651871253656E+002, 0.0000000000000000E+000
 1.0327614057614119E+003, 1.0327614057614119E+003, 0.0000000000000000E+000, 1.7822214012060371E+002, 0.0000000000000000E+000
 1.0471285480509143E+003, 1.0471285480509143E+003, 0.0000000000000000E+000, 1.7819742301291720E+002, 0.0000000000000000E+000
 1.0616955571987398E+003, 1.0616955571987398E+003, 0.0000000000000000E+000, 1.7817236270663625E+002, 0.0000000000000000E+000
 1.0764652136298503E+003, 1.0764652136298503E+003, 0.0000000000000000E+000, 1.7814695445488925E+002, 0.0000000000000000E+000
 1.0914403364487723E+003, 1.0914403364487723E+003, 0.0000000000000000E+000, 1.7812119344593003E+002, 0.0000000000000000E+000
 1.1066237839776825E+003, 1.1066237839776825E+003, 0.0000000000000000E+000, 1.7809507480228436E+002, 0.0000000000000000E+000
 1.1220184543019800E+003, 1.1220184543019800E+003, 0.0000000000000000E+000, 1.7806859357988637E+002, 0.0000000000000000E+000
 1.1376272858234477E+003, 1.1376272858234477E+003, 0.0000000000000000E+000, 1.7804174476720561E+002, 0.0000000000000000E+000
 1.1534532578211094E+003, 1.1534532578211094E+003, 0.0000000000000000E+000, 1.7801452328436361E+002, 0.0000000000000000E+000
 1.1694993910198884E+003, 1.1694993910198884E+003, 0.0000000000000000E+000, 1.7798692398224108E+002, 0.0000000000000000E+000
 1.1857687481671778E+003, 1.1857687481671778E+003, 0.0000000000000000E+000, 1.7795894164157448E+002, 0.0000000000000000E+000
 1.2022644346174311E+003, 1.2022644346174311E+003, 0.0000000000000000E+000, 1.7793057097204320E+002, 0.0000000000000000E+000
 1.2189895989248851E+003, 1.2189895989248851E+003, 0.0000000000000000E+000, 1.7790180661134596E+002, 0.0000000000000000E+000
 1.2359474334445295E+003, 1.2359474334445295E+003, 0.0000000000000000E+000, 1.7787264312426802E+002, 0.0000000000000000E+000
 1.2531411749414353E+003, 1.2531411749414353E+003, 0.0000000000000000E+000, 1.7784307500173716E+002, 0.0000000000000000E+000
 1.2705741052085614E+003, 1.2705741052085614E+003, 0.0000000000000000E+000, 1.7781309665987052E+002, 0.0000000000000000E+000
 1.2882495516931540E+003, 1.2882495516931540E+003, 0.0000000000000000E+000, 1.7778270243901073E+002, 0.0000000000000000E+000
 1.3061708881318618E+003, 1.3061708881318618E+003, 0.0000000000000000E+000, 1.7775188660275168E+002, 0.0000000000000000E+000
 1.3243415351946853E+003, 1.3243415351946853E+003, 0.0000000000000000E+000, 1.7772064333695485E+002, 0.0000000000000000E+000
 1.3427649611378849E+003, 1.3427649611378849E+003, 0.0000000000000000E+000, 1.7768896674875472E+002, 0.0000000000000000E+000
 1.3614446824659715E+003, 1.3614446824659715E+003, 0.0000000000000000E+000, 1.7765685086555447E+002, 0.0000000000000000E+000
 1.3803842646029068E+003, 1.3803842646029068E+003, 0.0000000000000000E+000, 1.7762428963401095E+002, 0.0000000000000000E+000
 1.3995873225726405E+003, 1.3995873225726405E+003, 0.0000000000000000E+000, 1.7759127691901028E+002, 0.0000000000000000E+000
 1.4190575216891150E+003, 1.4190575216891150E+003, 0.0000000000000000E+000, 1.7755780650263270E+002, 0.0000000000000000E+000
 1.4387985782558687E+003, 1.4387985782558687E+003, 0.0000000000000000E+000, 1.7752387208310739E+002, 0.0000000000000000E+000
 1.4588142602753721E+003, 1.4588142602753721E+003, 0.0000000000000000E+000, 1.7748946727375770E+002, 0.0000000000000000E+000
 1.4791083881682316E+003, 1.4791083881682316E+003, 0.0000000000000000E+000, 1.7745458560193558E+002, 0.0000000000000000E+000
 1.4996848355023981E+003, 1.4996848355023981E+003, 0.0000000000000000E+000, 1.7741922050794693E+002, 0.0000000000000000E+000
 1.5205475297325206E+003, 1.5205475297325206E+003, 0.0000000000000000E+000, 1.7738336534396612E+002, 0.0000000000000000E+000
 1.5417004529495848E+003, 1.5417004529495848E+003, 0.0000000000000000E+000, 1.7734701337294160E+002, 0.0000000000000000E+000
 1.5631476426409799E+003, 1.5631476426409799E+003, 0.0000000000000000E+000, 1.7731015776749103E+002, 0.0000000000000000E+000
 1.5848931924611397E+003, 1.5848931924611397E+003, 0.0000000000000000E+000, 1.7727279160878720E+002, 0.0000000000000000E+000
 1.6069412530129041E+003, 1.6069412530129041E+003, 0.0000000000000000E+000, 1.7723490788543413E+002, 0.0000000000000000E+000
 1.6292960326397497E+003, 1.6292960326397497E+003, 0.0000000000000000E+000, 1.7719649949233386E+002, 0.0000000000000000E+000
 1.6519617982290429E+003, 1.6519617982290429E+003, 0.0000000000000000E+000, 1.7715755922954406E+002, 0.0000000000000000E+000
 1.6749428760264657E+003, 1.6749428760264657E+003, 0.0000000000000000E+000, 1.7711807980112607E+002, 0.0000000000000000E+000
 1.6982436524617731E+003, 1.6982436524617731E+003, 0.0000000000000000E+000, 1.7707805381398427E+002, 0.0000000000000000E+000
 1.7218685749860363E+003, 1.7218685749860363E+003, 0.0000000000000000E+000, 1.7703747377669643E+002, 0.0000000000000000E+000
 1.7458221529205337E+003, 1.7458221529205337E+003, 0.0000000000000000E+000, 1.7699633209833564E+002, 0.0000000000000000E+000
 1.7701089583174514E+003, 1.7701089583174514E+003, 0.0000000000000000E+000, 1.7695462108728290E+002, 0.0000000000000000E+000
 1.7947336268325573E+003, 1.7947336268325573E+003, 0.0000000000000000E+000, 1.7691233295003263E+002, 0.0000000000000000E+000
